слово;гипероним;text;link
ригаль;строительное балка ;короткая поперечная балка в строительном сооружении, обычно опирающаяся на стойки (колонны), продольные балки или на кладку;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B3%D0%B5%D0%BB%D1%8C
ригаль ;засов;задвижка замка?;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B3%D0%B5%D0%BB%D1%8C
ригаль;место;геол. выступающий участок дна или склона ледниковой долины;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B3%D0%B5%D0%BB%D1%8C
ригаль;инструмент;инструмент для изготовления звеньев цепей, колец и т. д;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B3%D0%B5%D0%BB%D1%8C
ригаль;материал;вещество, служащее для изготовления чего-либо;https://ru.wiktionary.org/wiki/%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB
риза;одежда;религиозное верхнее облачение священника при богослужении ;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B7%D0%B0
риза;одеяние;религиозное согласно евангелию — одежды Христа;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B7%D0%B0
риза;облачение;историческое парадное, богато украшенное царское одеяние в Древней Руси ;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B7%D0%B0
риза;обшивка;религиозное металлическая обшивка, оклад на иконе ;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B7%D0%B0
риза;церковная одежда;священные одежды, в которых православные священнослужители, церковнослужители и монашествующие совершают богослужение;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%BD%D1%8B%D0%B5_%D0%BE%D0%B1%D0%BB%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_(%D0%BF%D0%BE%D0%B2%D1%81%D0%B5%D0%B4%D0%BD%D0%B5%D0%B2%D0%BD%D0%BE%D0%B5_%D0%B8_%D0%BB%D0%B8%D1%82%D1%83%D1%80%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5)
ризница ;хранилище;церковное место, покой при церкви, где хранятся ризы и вся церковная утварь с драгоценностями ;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B7%D0%BD%D0%B8%D1%86%D0%B0
ризница ;место;место,  где хранятся ризы и вся церковная утварь с драгоценностями;https://ru.wiktionary.org/wiki/%D1%80%D0%B8%D0%B7%D0%BD%D0%B8%D1%86%D0%B0
ризница ;место в алтаре; место в алтаре или отдельное помещение при христианском храме для хранения богослужебного облачения священников (прежде всего, риз) и церковной утвари (священных сосудов) — в целом, то же самое, что опистодом в египетском или античном храме;https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D0%B7%D0%BD%D0%B8%D1%86%D0%B0
ризница ;дьяконник;Помещение для хранения церковной утвари, литургических книг и одежд;http://www.patriarchia.ru/db/text/140981.html
ризница ;помещение;часть пространства здания или другого объекта недвижимого имущества, выделенная для самостоятельного использовани;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BC%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D0%B5
ризотта;блюда;блюдо итальянской кухни из риса, с мягким, сливочным вкусом. Первое письменное упоминание о нём встречается только в XIX веке.;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%82%D0%B0%D0%BD%D0%B8%D0%B5
