text,tonality
"Сериал очень люблю, но Академия и Земля вызывает у меня отторжение идеей... Не люблю, когда принижают ценность человека как личности, даже не смотря на ошибки личности...",6
"думал, что будет лучше идея очень интересна - города - Иные.. но в целом чуть выше чем ничего",7
"с творчеством Головачева я познакомился посредством этой книги. Понравилось дико, и потом было жалко, что остальные произведения подобного жанра ни по накалу страстей, ни по сюжету даже блиско не подходили. Посланник мне вообще больше всех книг понравился у Головачева.",10
"то-то я и в большое неудовольствие прочитал ""Артура"".. Теперь понимаю, почему стиль на Асприновский :(((",5
"как мне показалось местами сильно смахивает на посланника, но по общим впечатлениям не дотягивает. Концовка(последняя треть книги) такое ощущение писалась второпях. Вобщем почитать можно только от нечего делать",6
"от первой части книги просто оторваться не мог, уж больно захватывающими были похождения бывшего афганца по древней руси от второй части, отрываться мог, но ненадолго :)",9
"читается, конечно, легко.. но уж очень ощущение жевачки",8
"прочитал на одном дыхании! очень понравилось! даже не ожидал! несколько портит общее впечатление язык автора, но вроде он еще только начинающий, так что надеюсь поправит! в целом книгу рекомендую, но это только начало. продолжение нашел в сети, но очень оно сырое...",9
"Дочитав, я ещё несколько дней не могла в себя придти - настолько потрясло то, как она заканчивается!!!Еще раз Мураками написал картину, которую нельзя потрогать, полностью понять. Но ты можешь почувствовать запах ее красок и ее странное и доброе настроение.Это больше, чем жизнь; это дальше, чем смерть...",10
Сериал впечатлил! Интересная идея Слов Силы!,9
чуствуется разница стилей в одной книге у соавторов,7
"у автора куча идей, но кошмарен язык и рваный сюжет прочитал с ОГРОМНЫМ трудом, именно ради ""идей"" читать не советую",3
"прочитал залпом ))) не заметил ни рваностей сюжета, ни кошмарного языка",8
"очень ""классическая"" и добротная космическая фантастика о приключениях космических бродяг",9
если честно то сначала я играл в игру с тем же названием и только спустя несколько лет решил ее прочитать одно плохо - не закончена :(,9
"некоторые моменты перекликаются с Желязновскими хрониками.. но в целом, мне понравилось и прочитал первую часть на одном дыхании(как впрочем и Желязного :)",9
нудноватое начало со слабоватым (после МИФОВ) юмором интересна лишь развязка,7
"понравилась меньше чем первая, хотя это может быть засчет перерыва между прочтением. но всеравно интересная дилогия",8
"случайно столкнулся с сериалом, пропустив первую книгу и был порадован добротностью написания немного напоминает упрощенный сериал про Гаррета от Глен Кука понравилось",9
"сильно! написано хорошо и качественно лучше чем ""Драконья справедливость""",9
"сначала посмотрел фильм с Кевином Коснером и захотелось почитать оригинал очень понравилось, но чуствуется заезженость темы",8
очень непохожая на Пола Андерсона книга но может по этому и настолько хороша...,10
"самая обычная и стандартная история противостояния двух сил читать можно, если другого выбора нет...",7
"непонравилось, скорее всего, из за отсутствия главного героя всего цикла Терранской империи",6
"всегда мне импонировали произведения, где из ""ничего"" герои делают ""что-то""",9
"мир Вечного героя запутан, но интересен насколько я понимаю есть два варианта завершения круга времени - и это один из них",8
"как часто и бывает, первай вещь ГОРАЗДО более сильная чем последующие продолжения",6
"первое впечатление - порнуха, приправленная пришельцами, вампирами, оборотнями и подобными... НО! если посмотреть глубже, то пародийность чуствуется капитально читать можно и как просто порнуху и как серьезную психологическую фантастику",8
"вот все говорят бессмертие, бессмертие, а что реально с ним можно сделать если это аномалия, встречающаяся у единиц? не самое легкое чтиво",8
"После Сиальских хроник ожидал от Пехова чего то большего. А так, книга как книга. Не затянула и не впечатлила.",3
достаточно хороше написана много оригинальных идей и действительно читается залпом ))),8
Книга меня откровенно разочаровала. Ожидал большего от Асприна.,4
"Книга понравилась. Правда вставки из прошлого, на мой взгляд, оказались интереснее основного сюжета.",7
Только немного передергивало От настоящего Света настоящей тмы... перебор,8
"Интересная и напряженная от начала до конца книга. К сожалению конец меня разочаровал. Последние несколько абзатцев оставили в душе чувство неудовлетворённости и непонимания. Впрочем о том что я её прочитал, я не жалею.",7
Хотелось долго плеваться после того как я с трудом осилил половину книги. На этом моё увлечения творчеством Никитина было закончено. Я даже не захотел читать уже купленную книгу ?Изгой? из любимого некогда цикла Трое из леса.,1
Полное юмора и неплохих стихов произведение.,9
На мой взгляд одна из лучших книг Белянина. Эту книгу стоит прочитать.,10
"ещё одно произведение из школьной программы, которое мне понравилось... Правда, все сцены войны я читала в кратком изложении :)",7
"Весело, лекго, а главное - нечто новое, свежее",9
Мне его читали в детсвте как сказку - тогда она мне казалсь странной... Позже прочитала в оригинале - многое поняла,8
романтика девичьей юности,9
"мне показалось. что Летучий корабль скучнее первой книги сериала - ""Тайный сыск царя Гороха""",8
"Всё таки интересно, когда человек из нашего мира попадает в сказку",9
"В какой-то рецензии или анотации было написано, что книга полна искромётного и лёгкого московского юмора. Не знаю, что такое московский юмор, но книга хорошая",9
"необычная книга, отличается от других",8
"Решила прочитать после того, как посмотрела фильм. Книга однозначно лучше",8
